model,horizon,slope,slope_method,benchmark,score,release_date
qwq_plus,2001.7499999999998,0.2652,,gpqa_diamond,0.654,2025-04-08
meta_llama_llama_4_maverick_17b_128e_instruct_fp8,1896.084,0.4753,,gpqa_diamond,0.6698,
gpt_4_1_mini_2025_04_14,1892.418,0.3533,,gpqa_diamond,0.6585,2025-04-14
claude_3_7_sonnet_20250219,1672.8600000000001,0.5761,,gpqa_diamond,0.6604,2025-02-24
gemini_2_0_pro_exp_02_05,1660.878,0.5352,,gpqa_diamond,0.6566,2025-02-05
gemini_2_0_flash_001,1482.108,0.5541,,gpqa_diamond,0.6414,2025-02-05
o1_mini_2024_09_12,1306.992,0.2918,,gpqa_diamond,0.6237,2024-09-12
mistral_medium_2505,1087.7640000000001,0.5822,,gpqa_diamond,0.5953,2025-05-07
gemini_1_5_pro_002,968.622,0.6757,,gpqa_diamond,0.5723,2024-09-24
grok_3_beta,861.12,0.2663,,gpqa_diamond,0.5941,2025-04-09
claude_3_5_sonnet_20241022,846.12,0.6397,,gpqa_diamond,0.553,2024-10-22
gemini_2_0_flash_thinking_exp_01_21,776.094,0.3872,,gpqa_diamond,0.5707,2025-01-21
qwen_max_2025_01_25,758.7539999999999,0.4412,,gpqa_diamond,0.5612,2025-01-25
claude_3_5_sonnet_20240620,758.688,0.6096,,gpqa_diamond,0.5404,2024-06-20
o1_preview_2024_09_12,747.192,0.8678,,gpqa_diamond,0.5032,2024-09-12
mistral_large_2411,740.4599999999999,0.7934,,gpqa_diamond,0.5133,2024-11-18
grok_2_1212,737.976,0.5992,,gpqa_diamond,0.5379,2024-12-12
phi_4,719.442,0.4033,,gpqa_diamond,0.5606,2024-12-12
deepseek_v3,707.832,0.3595,,gpqa_diamond,0.5653,2024-12-26
meta_llama_llama_4_scout_17b_16e_instruct,639.0840000000001,0.5674,,gpqa_diamond,0.5183,
mistral_large_2407,618.894,0.736,,gpqa_diamond,0.4902,2024-07-24
deepseek_r1_distill_llama_70b,618.594,0.3361,,gpqa_diamond,0.5574,2025-01-20
gpt_4o_2024_11_20,542.604,0.6694,,gpqa_diamond,0.4789,2024-11-20
gpt_4o_2024_08_06,540.72,0.6006,,gpqa_diamond,0.4921,2024-08-06
deepseek_r1_distill_qwen_14b,510.78,0.8068,,gpqa_diamond,0.447,2025-01-20
