model,aime,gpqa,gpqa_diamond,hcast_r_s,hcast_r_s_full_method,hendrycks_math,livecodebench_2411_2505,osworld,tesla_fsd,video_mme,release_date
mplug_owl3,,,,,,,,,,4586.79,
mugglemath_13b,,,,,,25.145999999999997,,,,,
mugglemath_70b,,,,,,35.904,,,,,
mugglemath_7b,,,,,,17.61,,,,,
nousresearch_hermes_2_theta_llama_3_70b,,,286.806,,,,,,,,
nvila,,,,,,,,,,2701.482,
o1,2027.964,2754.75,,3086.094,2352.3945599999997,10704.905999999999,,,,,2024-12-05
o1_2024_12_17,,,8848.05,,,,,,,,2024-12-05
o1_mini_2024_09_12,,,1307.088,,,,,,,,2024-09-12
o1_preview,,,,1659.618,1333.28142,,,,,,2024-09-12
o1_preview_2024_09_12,,,747.21,,,,,,,,2024-09-12
o3,8766.198,,,7056.822,6678.20364,,,,,,2025-04-16
o3_2025_04_16,,,13833.126,,,,,,,,2025-04-16
o3_mini,5381.388,3059.508,,,,,,,,,2025-01-31
o3_mini_2025_01_31,,,104582.09400000001,,,,2083.116,,,,2025-01-31
o3_mini_high,,,,,,21821.73,,,,,2025-01-31
o4_mini,,,,4666.692,4670.74968,,13619.448,,,,2025-04-16
o4_mini_2025_04_16,,,18751.836,,,,,,,,2025-04-16
open_mistral_7b,,,24.516000000000002,,,,,,,,2023-09-27
open_mistral_nemo_2407,,,345.324,,,,,,,,2024-07-18
open_mixtral_8x22b,,,77.976,,,,,,,,2024-04-17
open_mixtral_8x7b,,,15.264000000000001,,,,,,,,2023-12-11
openchat_3_5_1210_7b,,,,,,21.048000000000002,,,,,
openchat_3_5_7b,,,,,,21.048000000000002,,,,,
openmath2_llama3_1_70b,,,,,,619.9499999999999,,,,,2024-11-25
openmath2_llama3_1_8b,,,,,,434.214,,,,,
oryx_1_5,,,,,,,,,,21516.888,
palm_2,,,,,,73.188,,,,,2024-05-10
phi_3_medium_128k_instruct,,,9.666,,,,,,,,2024-04-23
